"property_id","price"
"d56159653f5d2abc5ed5acd7",902829312
"45550aa81c0151f1fd9fd8fe",672103744
"735deef3382aa15930482f3e",613849024
"0dd49fa8bb7be52b851c6dc9",807469824
"7d3220a91e78f8bc2924d1cd",942350656
"d3054072b2175deec2c1f8dc",400914880
"b7574b06d593fca4eac59815",400914880
"79e822115c5c1a4531366001",380593792
"d3ed5316a463d38c1bd321d0",1051529664
"2f1880c9b8f7ac2715e1236d",793831552
"dcca1c7f109175760ff531c6",789889024
"dfc4f3facf91bbd93ee0fa4d",538624576
"30e134a6cbe61d7954d0f56b",473056640
"385fee7bd9ad7722d45dd034",558849344
"87199c236bf22903d1aafdd0",461090048
"19e19ad0cd6b5e84d8aa970e",602922176
"907f968e78d748fde69dd44f",576580800
"be094e5db0f784e3aa013aae",570249600
"7ab96f83915bc84f8c03c1bd",610903936
"07f4aa9b9ff5b0b05d31e6c0",796461696
"e9be8cd37abed8ab510ba1f5",702771776
"5f6ad58df27b562db077b5ce",692197696
"ee96d947484aaace40f9b77f",824879616
"15c4aef8401208054697b81e",1040517824
"22d6cb11333f2839b8112b89",1299994368
"288c09c33907dadbae495c11",1230339328
"f71d2bca0c5fe2720a1544c4",526635776
"451744cf3ce55a98db8a3562",571652608
"fba9ae05a6a8a9e0c6268a9f",602817216
"1338e58f7dcebf5a1ea59388",597249856
"a817e8da0ada143ac87277ee",405281792
"46d8bb3e9a0ca584d3c7a317",528636768
"b2506aa9463aebf01e1e00ca",525615392
"7ec025b9b6e6f33bf65af41b",508193184
"2ff531e27672ecd2362eed55",912350976
"9b3cf0d1b91b9c6a2a887647",650413888
"7db5291ce4602d9b2b266872",666456512
"65d5918e826c33bb950fc008",632529920
"395c34e4b8f52cbdb0522459",952311872
"855f4b67d2bd6d18fd03d8e7",668265792
"9ff06409b37e5b5dece4604a",707062464
"0508cd7bd2c77ebb6fea1e56",539503488
"b45fff2e718e54772d46a3fd",604721600
"cf4d2297b73dbc357d21e31b",550018240
"0ada7044c5b29925abc90879",594634496
"6305f02255274ab5fb6bd39c",825908416
"d9a94194ae1350512beff3e6",777181056
"e3896296cb80d50d9ad3f903",869248448
"6514f355887c64136edb5595",1132772352
"f03400cc18e12903b3ffbe5a",729013824
"4e134600155a64783b3f8c3e",899125376
"d63ebc63c82fbf66d8b6ffd3",486910880
"1bd64811bd59706844230198",1003906176
"a83921284639eedd4a511cb6",786855936
"a2f3f7a1cd573e2a33f52e2d",921641216
"47344a66471fa51f61c64652",835928000
"78fd849c9429091347d7e5c9",648183488
"c3daf2abea55af99c9579319",870473792
"52864916eb1984abca41ec66",976274240
"c62494a9d7aede44f2f84023",997697024
"a2b576643f7a032371587e5e",1229813760
"e53bc68f0e97ccead24f3e56",499737696
"fd82c710aad91bc90af490fe",712295680
"d436abc2ee37ba3dd561e940",625276864
"216a598114a403676011cb51",528867136
"ea230d5eccd2b687888173bb",837936576
"18bd0dd7580f2a7cb19a90b9",264337168
"b143c8ca6d334f6a73c3f2a0",412259968
"ab388cb4fa511968783bafee",549165248
"6a4f08cd04d558a56af732d9",479571296
"7216c895aa047c4f405c4941",661407360
"a493488dcd906dc74cf8a604",792396096
"7844b0b2bc65dced90a355c6",665975616
"c1976383069b6b82ab29d092",520598048
"e5cfd99e2308b7b73581dbdc",544214656
"c18c2ea88f4ac53970b53d2c",553302592
"842c9f0e4edf1e5a672ce15e",902659136
"7dd1e46dcbddc6bf5ef694de",426337568
"6cc4f32b39180bd1ec7e117b",849552000
"79e643789a85dc4ffad49a25",643233600
"b3402a9173d289d6db78e09d",930008704
"a446507813234e358db8b573",513770976
"c8ef57ddfb35061d1876f94e",708486208
"360be0df2c003005e3db080e",932273280
"9ab245a4c91877cb7a8661ce",987243328
"a57a34c7486e7a40e8deb316",976768512
"ceba7d0f56f6cb03538962fb",644493248
"d5475993f9db58c3e4baf7a3",868815552
"d37a1dda09e30da13ff5bfc3",901737664
"68a8b8d077a8232723bf37e9",692197696
"e1eea7716ca6490b7640717a",641250688
"4ae6d75b10848d259ecba576",654249728
"17afbce5c0b56732abbea936",939605504
"84a2673eccd3cf3bd7fd3eb0",976274240
"f2f4e6cbafe527b155707f01",1382272640
"de2e3a592cda5b76c9573c5c",971250880
"fac651cf404a58f24dc7d286",1252836864
"e6f312a0877af26b69855a3d",1276432000
"333a643c623a9bc75f3a40f2",1066429056
"64593641e470908ef23b46cb",1203964288
"ce9f2f0071be658ae75ca6f9",1158699392
"9ab385e399a4673732b6a799",985025856
"3429c774b736cefc051e2c55",717319808
"a51ad0372758b2bbfe73f8fd",668273920
"8c801a266256e3fbabe7e3d2",1079368576
"ca2f81b8fb6fda20aefb0ccb",612121920
"3c1b1f86087f9b99380e387c",951107200
"b0cad5d612954b8cab18101c",981569024
"7eb991f4c69215377e4dac8f",826297408
"0d130b8bea4321300396fa34",1110636672
"8dfa059401e1dca80ae65ae1",671342592
"3e3f264cd0ac7a65ed2349a2",946039872
"112dce80bf512f3f24391d23",453645664
"ff25ded6333278149f8fb68f",816772544
"d555b82c192794e87e9d536f",815674944
"a787382d96ef9fce8f27bc70",1031096704
"8c3aa295f7bcfd9a43eb2037",944149888
"13ac95652fb3cf6c43dafc66",504601408
